borough,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Brooklyn,1350,1280,1370,1342,1320,1409,1337,1367,1360,1346,1296,1353,1393,1298,1397,1360,1395,1371,1275,1365
Manhattan,1355,1330,1323,1409,1395,1404,1416,1373,1349,1362,1323,1404,1372,1394,1356,1398,1377,1299,1364,1302
Staten Island,33,45,32,41,33,30,28,43,37,23,28,41,31,25,19,22,35,35,29,29
Queens,451,445,442,488,438,446,419,435,443,450,433,406,411,418,428,425,445,459,455,456
Bronx,106,97,80,95,85,80,81,86,97,96,77,100,78,98,83,95,82,103,89,105
