borough,number of places,average price,average service fee,average minimum nights,average number of reviews,average review per month,average review rate number,total host listing count,average availability per 365 days
Brooklyn,26984,627.30,125.46,7.30,34.59,1.32,3.28,74709,140.19
Manhattan,27305,622.71,124.54,9.13,30.20,1.29,3.29,378682,147.03
Staten Island,639,616.78,123.36,5.61,40.27,1.73,3.43,1639,202.95
Queens,8793,629.34,125.87,6.55,38.81,1.82,3.35,64207,171.60
Bronx,1813,632.96,126.60,5.40,36.06,1.74,3.37,4943,189.82
